TEAM,OL_RUN,OL_PASS,QB_STRENGTH,SOS_RB,SOS_WRTE,SOS_QB
ARI,29,29,16,8,15,16
ATL,21,21,16,20,24,22
BAL,22,22,16,19,16,13
BUF,5,5,16,2,10,7
CAR,10,10,16,4,14,15
CHI,4,4,16,9,8,4
CIN,26,26,16,7,29,28
CLE,30,30,16,21,29,31
DAL,20,20,16,28,23,23
DEN,1,1,16,10,13,7
DET,12,12,16,30,12,18
GB,28,28,16,16,8,14
HOU,31,31,16,18,25,24
IND,6,6,16,23,17,25
JAX,17,17,16,17,24,29
KC,19,19,16,6,14,3
LAC,3,3,16,16,8,12
LAR,7,7,16,32,17,18
LV,27,27,16,1,10,1
MIA,25,25,16,13,6,11
MIN,9,9,16,25,26,26
NE,14,14,16,4,6,10
NO,11,11,16,32,16,21
NYG,18,18,16,23,29,28
NYJ,16,16,16,5,9,2
PHI,2,2,16,27,32,32
PIT,24,24,16,14,12,8
SEA,13,13,16,30,21,20
SF,15,15,16,11,8,5
TB,8,8,16,12,11,9
TEN,32,32,16,24,30,30
WAS,23,23,16,26,15,19
